Domain,Competency,Grade,LO Code, Outcome,Skill,Chimple Subject,Chimple Chapter,Chimple Lesson,Difficulty_Score,,,,,,,Source,Code,Score
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Categorizes and extends even and odd number patterns (+2) within sequences.,Math, Math Sense Beginners,Even Numbers,0.375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Categorizes and extends even and odd number patterns (+2) within sequences.,Math, Math Sense Beginners,Odd Numbers,0.375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Categorizes and extends even and odd number patterns (+2) within sequences.,Math,Revision,Even and Odd Numbers,0.375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 1,ILM 4.27,"Observes, extends, and creates patterns of shapes, numbers, and musical/sound patterns. For example, arrangement of shapes/objects/numbers, etc.: - For example 1, 2, 3, 4, 5, . . . 1, 3, 5, . . .. 2, 4, 6, . . .. 1, 2, 3, 1, 2, etc.",Identifies and extends alternating patterns of two (+2) within numerical sequences.,Math,Revision,Odd Numbers,0.4375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment","Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables.",Math,Multiplication Beginners,Skip by 2's,0.6875,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment","Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables.",Math,Multiplication Beginners,Skip by 3's,0.6875,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment","Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables.",Math,Math Sense Beginners,More Skip by 2's,0.6875,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment","Generalizes growth in sequences by predicting fixed increases (2s, 3s, 4s) via skip counting and tables.",Math,Math Operations,Table of 4,0.6875,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 1,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 2,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 3,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 4,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 5,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 6,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 7,0.9375,,,,,,,,,
Patterns,"Pattern Recognition, Extension & Generalisation",Class 2 ,ILM 5.27,"Observes and generalises the patterns in numbers like in multiplication tables, 1-100 number grid or objects in the environment",Extends complex numerical sequences using ascending and descending logic within a 1–999 range.,Math,Revision Number Order,Number Order 8,0.9375,,,,,,,,,
